utilization.gpu [%], memory.used [MiB]
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
68 %, 19938 MiB
69 %, 19938 MiB
69 %, 19938 MiB
69 %, 19938 MiB
69 %, 19938 MiB
68 %, 19938 MiB
69 %, 19938 MiB
69 %, 19938 MiB
72 %, 19938 MiB
74 %, 19938 MiB
79 %, 19938 MiB
79 %, 19938 MiB
77 %, 19938 MiB
77 %, 19938 MiB
72 %, 20094 MiB
66 %, 20094 MiB
67 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
69 %, 20094 MiB
70 %, 20094 MiB
71 %, 20094 MiB
72 %, 20094 MiB
77 %, 20094 MiB
75 %, 20094 MiB
78 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
64 %, 20094 MiB
66 %, 20094 MiB
64 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
26 %, 20094 MiB
67 %, 20094 MiB
67 %, 20094 MiB
70 %, 20094 MiB
73 %, 20094 MiB
72 %, 20094 MiB
77 %, 20094 MiB
76 %, 20094 MiB
58 %, 20094 MiB
67 %, 20094 MiB
67 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
67 %, 20094 MiB
67 %, 20094 MiB
69 %, 20094 MiB
70 %, 20094 MiB
70 %, 20094 MiB
73 %, 20094 MiB
77 %, 20094 MiB
77 %, 20094 MiB
74 %, 20094 MiB
67 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
67 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
69 %, 20094 MiB
69 %, 20094 MiB
67 %, 20094 MiB
72 %, 20094 MiB
77 %, 20094 MiB
79 %, 20094 MiB
78 %, 20094 MiB
67 %, 20094 MiB
65 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
70 %, 20094 MiB
70 %, 20094 MiB
74 %, 20094 MiB
78 %, 20094 MiB
77 %, 20094 MiB
79 %, 20094 MiB
79 %, 20094 MiB
78 %, 20094 MiB
78 %, 20094 MiB
67 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
67 %, 20094 MiB
67 %, 20094 MiB
67 %, 20094 MiB
68 %, 20094 MiB
69 %, 20094 MiB
68 %, 20094 MiB
70 %, 20094 MiB
73 %, 20094 MiB
73 %, 20094 MiB
73 %, 20094 MiB
76 %, 20094 MiB
76 %, 20094 MiB
77 %, 20094 MiB
78 %, 20094 MiB
77 %, 20094 MiB
65 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
68 %, 20094 MiB
68 %, 20094 MiB
69 %, 20094 MiB
69 %, 20094 MiB
70 %, 20094 MiB
74 %, 20094 MiB
72 %, 20094 MiB
78 %, 20094 MiB
78 %, 20094 MiB
67 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
64 %, 20094 MiB
66 %, 20094 MiB
68 %, 20094 MiB
69 %, 20094 MiB
70 %, 20094 MiB
73 %, 20094 MiB
73 %, 20094 MiB
73 %, 20094 MiB
72 %, 20094 MiB
78 %, 20094 MiB
67 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
65 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
69 %, 20094 MiB
66 %, 20094 MiB
69 %, 20094 MiB
73 %, 20094 MiB
73 %, 20094 MiB
78 %, 20094 MiB
78 %, 20094 MiB
65 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
64 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
65 %, 20094 MiB
66 %, 20094 MiB
73 %, 20094 MiB
73 %, 20094 MiB
74 %, 20094 MiB
77 %, 20094 MiB
78 %, 20094 MiB
77 %, 20094 MiB
78 %, 20094 MiB
54 %, 20094 MiB
